[2022-08-06T10:25:38.853] [ERROR] archivoError - fallo la operacion obtenerTodos: error is not defined
[2022-08-06T10:29:02.888] [ERROR] archivoError - fallo la operacion obtenerTodos: error is not defined
[2022-08-16T09:56:14.088] [ERROR] archivoError - Error de lectura: ReferenceError: usuario is not defined
[2022-08-20T09:48:37.346] [ERROR] archivoError - Error de lectura: TypeError: Cannot create property 'cantidad' on boolean 'true'
[2022-08-20T10:13:11.783] [ERROR] archivoError - Error de lectura: TypeError: Cannot read properties of undefined (reading '0')
[2022-08-20T10:13:43.999] [ERROR] archivoError - Error de lectura: TypeError: Cannot read properties of undefined (reading '0')
[2022-08-20T14:27:34.266] [ERROR] archivoError - Error de lectura: TypeError: Cannot read properties of undefined (reading 'cantidad')
[2022-08-20T22:33:03.833] [ERROR] archivoError - Error de lectura: TypeError: Cannot read properties of undefined (reading 'cantidad')
[2022-08-20T22:36:12.952] [ERROR] archivoError - Error de lectura: TypeError: Cannot read properties of undefined (reading 'cantidad')
[2022-08-20T22:37:57.974] [ERROR] archivoError - Error de lectura: TypeError: Cannot read properties of undefined (reading 'cantidad')
[2022-08-20T22:39:37.244] [ERROR] archivoError - Error de lectura: TypeError: Cannot read properties of undefined (reading 'cantidad')
[2022-08-20T22:41:08.172] [ERROR] archivoError - Error de lectura: TypeError: Cannot read properties of undefined (reading 'cantidad')
[2022-08-20T22:56:03.972] [ERROR] archivoError - Error de lectura: TypeError: Cannot read properties of undefined (reading 'cantidad')
[2022-08-20T22:57:48.288] [ERROR] archivoError - Error de lectura: TypeError: Cannot read properties of undefined (reading 'cantidad')
[2022-08-20T22:59:45.127] [ERROR] archivoError - Error de lectura: TypeError: Cannot read properties of undefined (reading 'cantidad')
[2022-08-20T22:59:45.287] [ERROR] archivoError - Error de lectura: TypeError: Cannot read properties of undefined (reading 'cantidad')
[2022-08-20T23:01:12.084] [ERROR] archivoError - Error de lectura: TypeError: Cannot read properties of undefined (reading 'cantidad')
[2022-08-20T23:01:12.154] [ERROR] archivoError - Error de lectura: TypeError: Cannot read properties of undefined (reading 'cantidad')
[2022-08-20T23:04:50.959] [ERROR] archivoError - Error de lectura: TypeError: Cannot read properties of undefined (reading 'cantidad')
